SL,PAN Style,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,6,8,10,12,14,16,18,19,20,21,22,23,24,48,50,52,54,56,58,62,68,74,80,86,92
25,PAN2022095,,Men,Top,Padding Jacket,Mens Padding Jacket,WHITE,8.4,19.83,-,18,12,8,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
26,PAN2022098,,Women,Top,Padding Jacket,Womens Padding Jacket,LIGHT GREY,7.48,18.59,-,18,12,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
88,PAN2022098B,,,,Padding Jacket,Womens Padding Jacket,SKY,7.48,18.59,-,22,8,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
89,PAN2022098C,,,,Padding Jacket,Womens Padding Jacket,DUSTY PINK,7.48,18.59,-,15,18,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
90,PAN2022098D,,,,Padding Jacket,Womens Padding Jacket,FOREST,7.48,18.59, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
91,PAN2022098E,,,,Padding Jacket,Womens Padding Jacket,MINT,7.48,18.59,-,16,12,12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
92,PAN2022098F,,,,Padding Jacket,Womens Padding Jacket,BLACK,7.48,18.59,-,20,13,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
27,PAN2022100,,Women,Top,Padding Jacket,Womens Padding Jacket,LIGHT PINK,6.56,17.38,-,20,11,9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
28,PAN2022101,,Women,Top,Padding Jacket,Womens Padding Jacket,BURGANDY,7.69,18.88,-,20,12,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
29,PAN2022088,,Women,Top,Padding Jacket,Womens Padding Jacket,BURGANDY,5.08,15.4,-,16,14,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
30,PAN2022089,,Women,Top,Padding Jacket,Womens Padding Jacket,Black,8.17,19.52,-,18,18,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
