SL,Style,PAN Styl,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,Total,Brand
,,,,,,,,Pale Banana,3.26,12.97,  -   ,6,2,1,  -   ,  -   ,  9.00
,,,,,,,,Blueprint,3.26,12.97,  -   ,4,3,2,  -   ,  -   ,  9.00
,,,,,,,,lt grey mel,3.26,12.97,  -   ,4,2,2,  -   ,  -   ,  8.00
,,,,,,,,Burgandy,3.26,12.97,  -   ,4,3,2,  -   ,  -   ,  9.00
,,,,,,,,Pistachio Shell,3.26,12.97,  -   ,5,3,2,  -   ,  -   ,  10.00
,,,,,,,,Spring Bud,3.26,12.97,  -   ,5,2,1,  -   ,  -   ,  8.00
,,,,,,,,Amazon,3.26,12.97,  -   ,3,1,1,  -   ,  -   ,  5.00
,,,,,,,,Black,3.26,12.97,  -   ,6,  -   ,5,  -   ,  -   ,  11.00
,,,,,,,,Amber Yellow,3.26,12.97,  -   ,5,3,2,  -   ,  -   ,  10.00
,,,,,,,,Cherry Tomato,3.26,12.97,  -   ,5,3,2,  -   ,  -   ,  10.00
,,,,,,,,peony,3.26,12.97,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
33,CAW-1328-A2 (Small Stripe),PAN2022010,,Women,Top,Sweater,Womens Sweater,Blueprint + White,3.78,13.67,  -   ,4,2,2,  -   ,  -   ,  8.00
,,,,,,,,Burgundy + White,3.78,13.67,  -   ,6,2,2,  -   ,  -   ,  10.00
34,CAW-1328-B2 (Large Stripe),PAN2022010,,Women,Top,Sweater,Womens Sweater,Burgundy + White,3.78,13.67,  -   ,11,11,6,  -   ,  -   ,  28.00
,,,,,,,,Blue + White,3.78,13.67,  -   ,12,12,5,  -   ,  -   ,  29.00
35,CAW-1328-C2,PAN2022010,,Women,Top,Sweater,Womens Sweater,BLACK /WHITE,3.78,13.67,  -   ,11,6,12,  -   ,  -   ,  29.00
36,CAW-1322,PAN2022012,,Women,Top,Sweater,Womens Sweater,Stucco,2.93,12.53,  -   ,2,  -   ,  -   ,  -   ,  -   ,  2.00
,,,,,,,,Black,2.93,12.53,  -   ,12,9,8,  -   ,  -   ,  29.00
,,,,,,,,Orange Peel,2.93,12.53,  -   ,2,5,2,  -   ,  -   ,  9.00
,,,,,,,,Blue Haze,2.93,12.53,  -   ,3,3,1,  -   ,  -   ,  7.00
,,,,,,,,White,2.93,12.53,  -   ,4,4,2,  -   ,  -   ,  10.00
,,,,,,,,Potent Purple,2.93,12.53,  -   ,4,5,2,  -   ,  -   ,  11.00
,,,,,,,,Blue Coral,2.93,12.53,  -   ,8,  -   ,2,  -   ,  -   ,  10.00
,,,,,,,,Trekking Green,2.93,12.53,  -   ,2,6,1,  -   ,  -   ,  9.00
,,,,,,,,Blueprint,2.93,12.53,  -   ,5,2,2,  -   ,  -   ,  9.00
37,TTSW-709,PAN2022013,,Women,Top,Sweater,Womens Sweater,Black + White,3.16,12.84,  -   ,4,1,3,  -   ,  -   ,  8.00
,,,,,,,,Burgandy + White,3.16,12.84,  -   ,3,2,1,  -   ,  -   ,  6.00
,,,,,,,,Blueprint + White,3.16,12.84,  -   ,3,2,2,  -   ,  -   ,  7.00
,,,,,,,,Fragrant Lilac + White,3.16,12.84,  -   ,5,3,1,  -   ,  -   ,  9.00
,,,,,,,,Sprucestone + WHITE,3.16,12.84,  -   ,3,4,1,  -   ,  -   ,  8.00
,,,,,,,,Serenity + WHITE,3.16,12.84,  -   ,3,4,2,  -   ,  -   ,  9.00
38,TTSWT-705,PAN2022014,,Women,Top,Sweater,Womens Sweater,BLACK,4.02,13.98,  -   ,5,1,4,  -   ,  -   ,  10.00
39,TT-SWA-187,PAN2022015,,Women,Top,Sweater,Womens Sweater,Bright Marigold + Potent Purple,4.70,14.89,  -   ,4,3,2,  -   ,  -   ,  9.00
40,TT-SWA-188,PAN2022016,,Women,Top,Sweater,Womens Sweater,Omphalodes + Minion Yellow,4.70,14.89,  -   ,3,2,3,  -   ,  -   ,  8.00
41,TT-SWA-196,PAN2022017,,Women,Top,Sweater,Womens Sweater,Multicolor,3.99,13.95,  -   ,1,5,4,  -   ,  -   ,  10.00
42,TT-SWA-136 - 138,PAN2022018,,Women,Top,Sweater,Womens Sweater,Fuchia Purple,4.70,14.89,  -   ,5,2,3,  -   ,  -   ,  10.00
,,,,,,,,Sproustone,4.70,14.89,  -   ,4,3,2,  -   ,  -   ,  9.00
,,,,,,,,Bombay Brown,4.70,14.89,  -   ,5,4,1,  -   ,  -   ,  10.00
43,TT-SWA-202,PAN2022022,,Women,Top,Sweater,Womens Sweater,MULTICOLOR,4.70,14.89,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
44,TT-SWA-179,PAN2022023,,Women,Top,Sweater,Womens Sweater,Blue Coral,3.99,13.95,  -   ,4,  -   ,5,  -   ,  -   ,  9.00
45,TT-SWA-180,PAN2022024,,Women,Top,Sweater,Womens Sweater,Paisely Purple,3.99,13.95,  -   ,4,5,2,  -   ,  -   ,  11.00
46,TT-SWA-173,PAN2022025,,Women,Top,Sweater,Womens Sweater,Dark Citron ,4.70,14.89,  -   ,10,5,  -   ,  -   ,  -   ,  15.00
47,TT-SWA-174,PAN2022026,,Women,Top,Sweater,Womens Sweater,Paisely Purple ,4.70,14.89,  -   ,5,2,3,  -   ,  -   ,  10.00
48,TT-SWA-175,PAN2022027,,Women,Top,Sweater,Womens Sweater,Bright Marigold,4.70,14.89,  -   ,6,2,2,  -   ,  -   ,  10.00
49,TT-SWA-176,PAN2022028,,Women,Top,Sweater,Womens Sweater,Delphinium Blue,4.70,14.89,  -   ,2,6,2,  -   ,  -   ,  10.00
50,TT-SWA-132,PAN2022029,,Women,Top,Sweater,Womens Sweater,Black + Fuschia Purple,3.99,13.95,  -   ,4,3,1,  -   ,  -   ,  8.00
51,TT-SWA-133,PAN2022030,,Women,Top,Sweater,Womens Sweater,Purple + Amber Yellow,3.99,13.95,  -   ,5,3,2,  -   ,  -   ,  10.00
52,TT-SWA-134,PAN2022031,,Women,Top,Sweater,Womens Sweater,Dark Citron + Black,3.99,13.95,  -   ,4,4,2,  -   ,  -   ,  10.00
53,TT-SWA-135,PAN2022032,,Women,Top,Sweater,Womens Sweater,Peony + Bubblegum,3.99,13.95,  -   ,3,3,1,  -   ,  -   ,  7.00
54,TT-SWA-169,PAN2022033,,Women,Top,Sweater,Womens Sweater,Mulberry Purple,4.70,14.89,  -   ,5,8,1,  -   ,  -   ,  14.00
55,TT-SWA-170,PAN2022034,,Women,Top,Sweater,Womens Sweater,TERRA CITTA/Desert Sand,4.70,14.89,  -   ,4,3,2,  -   ,  -   ,  9.00
56,TT-SWA-171,PAN2022035,,Women,Top,Sweater,Womens Sweater,Trekking Green,4.70,14.89,  -   ,6,3,1,  -   ,  -   ,  10.00
57,TT-SWA-172,PAN2022036,,Women,Top,Sweater,Womens Sweater,Shopping Bag,4.70,14.89,  -   ,5,3,3,  -   ,  -   ,  11.00
58,TT-SWA-183,PAN2022037,,Women,Top,Sweater,Womens Sweater,little boy Blue + Kelly Green,4.70,14.89,  -   ,5,3,1,  -   ,  -   ,  9.00
59,TT-SWA-184,PAN2022038,,Women,Top,Sweater,Womens Sweater,Orange Peel + Fuchia Purple,4.70,14.89,  -   ,4,4,1,  -   ,  -   ,  9.00
60,TT-SWA-124,PAN2022039,,Women,Top,Sweater,Womens Sweater,Black,5.70,16.22,  -   ,3,6,1,  -   ,  -   ,  10.00
61,TT-SWA-125,PAN2022040,,Women,Top,Sweater,Womens Sweater,Burgandy,5.70,16.22,  -   ,4,3,1,  -   ,  -   ,  8.00
62,TT-SWA-126,PAN2022041,,Women,Top,Sweater,Womens Sweater,Mulberry Purple,5.70,16.22,  -   ,6,2,1,  -   ,  -   ,  9.00
63,TT-SWA-127,PAN2022042,,Women,Top,Sweater,Womens Sweater,Blue Coral,5.70,16.22,  -   ,11,  -   ,  -   ,  -   ,  -   ,  11.00
64,TT-SWA-181,PAN2022043,,Women,Top,Sweater,Womens Sweater,Camellia Rose + HIGH RISK RED,4.70,14.89,  -   ,5,3,1,  -   ,  -   ,  9.00
